alpha,beta,p_stay_noreward,p_stay_reward
0.15119896,-0.022172838,0.53772789,0.53221185
0.21531241,0.032437309,0.55362111,0.56162255
0.14724843,0.073466878,0.53674574,0.55495591
0.17738092,0.042332752,0.54422932,0.55470851
0.19713616,0.017206165,0.54912505,0.55338136
0.20647673,0.031163163,0.55143657,0.55913196
0.21169963,0.012782447,0.55272813,0.55588603
0.15209381,0.10497727,0.53795032,0.56391616
0.18982749,0.036816015,0.54731488,0.55641957
0.13088408,0.13842781,0.53267439,0.56692397
0.14315984,0.13397988,0.53572896,0.56884485
0.17637607,0.026966697,0.54398006,0.55066125
0.2030013,0.043091166,0.55057676,0.56121449
0.12136324,0.13404744,0.53030362,0.5635078
0.1541132,0.069717938,0.53845222,0.55572532
0.1757274,0.093153631,0.54381915,0.56681818
0.063572172,0.1929612,0.51588769,0.56378393
0.28810358,-0.053627815,0.57153179,0.55835184
0.24572649,-0.074215695,0.56112437,0.5427729
0.18710843,0.025676336,0.54664111,0.55299638
0.11890061,0.12888272,0.52969018,0.56163083
0.14431421,0.20313256,0.53601607,0.58599829
0.14338819,0.11100219,0.53578576,0.56325683
0.15721278,0.094810438,0.53922244,0.56267442
0.17446792,0.064783924,0.54350668,0.55952927
0.20826855,-0.006187069,0.55187975,0.55034915
0.15406226,0.065661907,0.53843956,0.5547111
0.28047705,-0.13067916,0.56966317,0.5373796
0.26267277,-0.031332828,0.56529321,0.55757842
0.20276782,-0.05751753,0.55051898,0.53624886
0.17078394,0.15990034,0.54259251,0.58192586
0.17498669,0.17534141,0.54363538,0.58669714
0.063816479,0.10879503,0.51594871,0.54304605
0.12312054,0.15764196,0.53074131,0.56973315
0.12649854,0.12417454,0.53158253,0.56234216
0.16127782,0.12886415,0.54023229,0.57203089
0.15265706,0.11620051,0.53809032,0.56681242
0.1646639,0.10842768,0.54107321,0.56785172
0.17212805,0.18095459,0.54292608,0.58736491
0.15395213,0.035500173,0.53841219,0.54722192
0.19910457,-0.054308958,0.54961235,0.53613579
0.2084947,0.021598829,0.55193567,0.55727093
0.038087388,0.12347204,0.5095207,0.54030223
0.32284525,-0.0035979012,0.5800175,0.57914081
0.25072652,-0.10880649,0.56235531,0.53542058
0.2532191,-0.14117764,0.56296867,0.5279811
0.30811139,-0.01728336,0.57642421,0.57219884
0.2787541,-0.078857497,0.56924075,0.5498084
0.144621,0.073748271,0.53609237,0.55437641
0.17883242,-0.041440285,0.54458933,0.5342941
0.27531498,0.047916298,0.56839726,0.58011154
0.19541212,-0.08876133,0.54869816,0.52663745
0.27454775,-0.024492878,0.56820903,0.56219001
0.31968114,0.083321158,0.57924654,0.59940878
0.26467301,-0.062850167,0.56578467,0.55028514
0.15947101,0.10706442,0.53978348,0.56624216
0.16671024,0.16055117,0.5415813,0.58109289
0.15006994,-0.084201438,0.53744723,0.51646117
0.30515474,0.040198646,0.57570215,0.58549034
0.21798717,0.076565787,0.55428201,0.5731104
0.19314482,0.037364125,0.54813665,0.55737342
0.25077718,0.067903468,0.56236778,0.57900268
0.09656737,0.070465798,0.5241231,0.54166147
0.2210235,0.073949817,0.55503202,0.57321324
0.1442105,-0.0072095758,0.53599027,0.53419676
0.10981321,0.0045889911,0.52742575,0.5285694
0.10981321,0.0045889911,0.52742575,0.5285694
0.20233855,0.0499492,0.55041276,0.56273951
0.1993232,0.016914678,0.54966647,0.5538498
0.15827101,-0.0014759591,0.53948536,0.53911865
0.15698985,-0.0066567002,0.53916705,0.53751266
0.15121684,-0.01185452,0.53773234,0.5347843
0.19306125,0.041474385,0.54811595,0.55836661
0.19398515,0.010801205,0.54834478,0.55101842
0.1159398,0.02119779,0.52895253,0.53423077
0.14222524,0.0523621,0.5354965,0.54849392
0.21886686,0.023595901,0.55449933,0.56032047
0.2187359,-0.016846182,0.55446698,0.55030169
0.21088621,0.023004426,0.55252703,0.55820755
0.23189941,0.014104381,0.55771643,0.56119265
0.12231123,0.018559047,0.53053974,0.53515944
0.17823587,0.022529972,0.54444138,0.55002355
0.21685987,0.030328104,0.55400349,0.56148425
0.18395642,0.0036637013,0.54585985,0.54676792
0.14568048,0.11947855,0.53635584,0.56590407
0.13228651,0.13167859,0.53302348,0.56561075
0.18696811,0.041575533,0.54660634,0.55688851
0.24573262,-0.04077396,0.56112588,0.55106104
0.1309092,0.14418423,0.53268064,0.56834291
0.16257345,0.12759715,0.54055408,0.5720379
0.19500382,-0.0086437236,0.54859706,0.54645565
0.10285575,0.21236233,0.52569129,0.57815842
0.16025295,0.062207023,0.53997772,0.55538676
0.20406478,0.036051704,0.55083989,0.55974236
0.17576553,0.09251277,0.54382861,0.56667018
0.17875832,0.044119508,0.54457096,0.55548994
0.17414966,0.08165937,0.54342771,0.56360578
0.12003956,0.075597305,0.52997391,0.54875382
0.12390197,0.074033312,0.53093593,0.54932289
0.24349698,0.028659789,0.56057524,0.56762231
0.19282076,-0.025077414,0.54805639,0.54183778
0.20707526,0.02831537,0.55158462,0.55857743
0.23690663,-0.0048377917,0.5589512,0.55775822
0.20009872,-1.1992462e-4,0.54985843,0.54982875
0.2306867,0.080559571,0.55741727,0.57718943
0.26839516,0.0098191112,0.56669888,0.56910837
0.23217207,-0.036135364,0.55778369,0.54885282
0.20642454,0.029803355,0.55142366,0.55878387
0.24754013,-0.11756447,0.56157095,0.53244825
0.21594481,0.086320876,0.55377739,0.57499629
0.16232862,0.089640309,0.54049328,0.56266106
0.1057032,0.072840879,0.52640122,0.54451782
0.1958544,0.1145085,0.54880768,0.57697384
0.19221723,0.10521774,0.5479069,0.57381536
0.13921725,0.15184322,0.53474821,0.57225573
0.15179266,0.044746599,0.53787547,0.54897726
0.14427843,0.2167584,0.53600717,0.5892914
0.15015353,0.23251224,0.53746801,0.59451589
0.19563849,-0.073336727,0.54875422,0.53053739
0.2822461,-0.058537636,0.5700968,0.55569504
0.12616692,0.1241616,0.53149996,0.56225736
0.25951887,-0.042712014,0.56451802,0.55399039
0.22842759,-0.10779438,0.55685987,0.53012178
0.20234983,0.068900379,0.55041555,0.5673998
0.19625522,0.067901194,0.54890693,0.56565775
0.22589449,-0.069733453,0.5562347,0.53896112
0.29263924,-0.10582994,0.57264214,0.54656698
0.25760726,-0.05825632,0.56404801,0.54967334
0.16702879,0.12513455,0.54166039,0.57252567
0.030592724,0.23557619,0.50764758,0.56615214
0.093663339,0.1293887,0.52339873,0.55553296
0.079355662,0.11076435,0.51982851,0.54738735
0.09136959,0.090031816,0.52282652,0.5452264
0.09136959,0.090031816,0.52282652,0.5452264
0.2749446,0.009470247,0.56830639,0.57062825
0.25357966,-0.076066299,0.56305738,0.54426217
0.22939268,0.022716542,0.55709801,0.56269558
0.21644747,0.024603383,0.55390159,0.5599726
0.24720774,-0.036805939,0.56148911,0.55240726
0.15757863,0.035876222,0.53931334,0.54821344
0.1767761,0.11481949,0.5440793,0.57238671
0.17163541,0.10350519,0.54280382,0.56835447
0.2736062,0.003935852,0.56797801,0.56894352
0.20836816,0.011515259,0.55190438,0.55475044
0.14868997,0.0084779273,0.53710416,0.53921129
0.15918043,0.10695627,0.53971129,0.56614422
0.18144985,0.097077939,0.54523841,0.56918526
0.18117454,-0.010966939,0.54517015,0.54244947
0.28115679,-0.09095313,0.5698298,0.54740808
0.3280378,0.015025541,0.58128187,0.58493445
0.26570638,0.015773602,0.56603852,0.56990902
0.17859027,-0.017137639,0.54452928,0.54027571
0.18620996,0.11623927,0.54641844,0.57504114
0.19194393,-0.021450356,0.5478392,0.54252044
0.24243444,-0.083588523,0.56031349,0.53962819
0.26477081,0.0200331,0.5658087,0.57072357
0.25571857,0.011888876,0.56358353,0.56650544
0.20372277,0.14017256,0.55075527,0.58513643
0.08808822,0.02462306,0.52200783,0.52814803
0.08808822,0.02462306,0.52200783,0.52814803
0.086754996,0.046747633,0.52167516,0.53332617
0.093441923,0.078904877,0.5233435,0.54298036
0.093441923,0.078904877,0.5233435,0.54298036
0.089748973,0.054182187,0.52242219,0.5359208
0.15957684,0.087821665,0.53980977,0.56153608
0.13524653,0.096303176,0.53376019,0.55763017
0.25863568,-0.01936805,0.56430088,0.55953316
0.28042399,-0.066237464,0.56965017,0.55334286
0.11943966,0.14238323,0.52982447,0.56508435
