participant,understood_eq_felt,param,median,lo90,hi90
60e46e6f6bc0c2cdf5d077ce,True,alpha_m1,0.9585830157177688,0.8008696556578131,0.9981483477427581
60e46e6f6bc0c2cdf5d077ce,True,beta_m1,1.4333665000205704,0.991833107413564,1.890932155324769
60e46e6f6bc0c2cdf5d077ce,True,kappa_m1,-0.9676838159869809,-1.36513578264254,-0.6113939539665509
60e46e6f6bc0c2cdf5d077ce,True,delta_m1,0.9454960580815296,0.6331996672547484,0.9982635077741425
60e46e6f6bc0c2cdf5d077ce,True,kappa_m2,-0.5841892091858172,-0.9262475907934514,-0.25404033162723555
60e46e6f6bc0c2cdf5d077ce,True,delta_m2,0.9692508646308613,0.44947691882759844,0.9995093000466455
60e6b55696dade249aa3249b,True,alpha_m1,0.9501052018719774,0.8059769428960788,0.9977341651287494
60e6b55696dade249aa3249b,True,beta_m1,3.1917788089775962,2.2301050603008776,4.425466745860027
60e6b55696dade249aa3249b,True,kappa_m1,1.5381759479591475,1.1122857017438799,1.991744544629193
60e6b55696dade249aa3249b,True,delta_m1,0.9856116648418431,0.9335664043502706,0.9992975114231276
60e6b55696dade249aa3249b,True,kappa_m2,2.1470507084714407,1.7958370068419574,2.534351623736232
60e6b55696dade249aa3249b,True,delta_m2,0.994734871632971,0.9714450703084068,0.9997941883799308
60e9f29fe1f58945339696d0,True,alpha_m1,0.5686671712258189,0.4083347939011529,0.7935322725123266
60e9f29fe1f58945339696d0,True,beta_m1,2.352156271326373,1.4833841315737273,3.3608479332017334
60e9f29fe1f58945339696d0,True,kappa_m1,0.20805871059636133,-0.14653988491531353,0.5302695682689939
60e9f29fe1f58945339696d0,True,delta_m1,0.8886337524142782,0.13008098930428547,0.9978618268098827
60e9f29fe1f58945339696d0,True,kappa_m2,0.5587777702959831,0.28258153914457285,0.8339313007595919
60e9f29fe1f58945339696d0,True,delta_m2,0.9870991552870251,0.839787127769249,0.9996645065983776
6661b6019ab530fb44632cc2,True,alpha_m1,0.8822432464838523,0.3128462365697837,0.9959020385995021
6661b6019ab530fb44632cc2,True,beta_m1,0.7339412195156099,0.3345749827839285,1.2996355854766632
6661b6019ab530fb44632cc2,True,kappa_m1,-0.06396485270693308,-0.3842848976656012,0.26493325273865065
6661b6019ab530fb44632cc2,True,delta_m1,0.8663902874581915,0.11702848178954144,0.9975237404676566
6661b6019ab530fb44632cc2,True,kappa_m2,0.03570360383811532,-0.2756872694039818,0.3395180708228815
6661b6019ab530fb44632cc2,True,delta_m2,0.9575189884117302,0.13881788101049122,0.9994586468510177
66912a96b8dba143ceba8276,True,alpha_m1,0.7109903696089006,0.5715584739397263,0.8615897146304043
66912a96b8dba143ceba8276,True,beta_m1,4.528471038048525,3.5207183413222256,5.660286666758151
66912a96b8dba143ceba8276,True,kappa_m1,0.1796250539688774,-0.3420488457665353,0.7834157544784249
66912a96b8dba143ceba8276,True,delta_m1,0.6956580083617646,0.05009407932439156,0.9959896313961348
66912a96b8dba143ceba8276,True,kappa_m2,1.1997246211300765,0.9129789161844251,1.5169988608004394
66912a96b8dba143ceba8276,True,delta_m2,0.9865627406384376,0.8980778411396763,0.9996976538968088
66ab330c867b56b7333c7f26,True,alpha_m1,0.2612807417448064,0.007484032491281675,0.9883676068036831
66ab330c867b56b7333c7f26,True,beta_m1,0.2786745521961089,-1.0602260222044215,2.4151464239890292
66ab330c867b56b7333c7f26,True,kappa_m1,0.5303720257069311,0.238509739321835,0.8353530728023694
66ab330c867b56b7333c7f26,True,delta_m1,0.937877116800316,0.5136951784550186,0.9982539630135074
66ab330c867b56b7333c7f26,True,kappa_m2,0.5508732731559948,0.2536789365375614,0.8379373234864717
66ab330c867b56b7333c7f26,True,delta_m2,0.9786100763454699,0.6353915201614604,0.9995933569375401
66ab9137e5573312997df691,True,alpha_m1,0.9780517030289377,0.9038943978577652,0.9986951399962649
66ab9137e5573312997df691,True,beta_m1,2.3079807798706935,1.784400765030489,2.889207864827756
66ab9137e5573312997df691,True,kappa_m1,-0.6717468926496318,-1.1059775982212225,-0.2598187015355772
66ab9137e5573312997df691,True,delta_m1,0.9665322616852492,0.7272479501170869,0.9987701003011805
66ab9137e5573312997df691,True,kappa_m2,0.19533452807626792,-0.10709296768209914,0.5292711718858654
66ab9137e5573312997df691,True,delta_m2,0.9295769683605902,0.10674236155759212,0.9994406424837666
677009b08130c3028f6a8a6d,False,alpha_m1,0.9493879222711055,0.7857586696118337,0.99729021382274
677009b08130c3028f6a8a6d,False,beta_m1,1.7421683543317554,1.21787064350085,2.299141411467476
677009b08130c3028f6a8a6d,False,kappa_m1,0.7971571899664565,0.4011836557197733,1.2420045284910697
