scarcity,p_stay_win,p_stay_lose,wsls_effect,alpha,beta
0.0,,0.5059475760200135,,0.3,4
0.05,0.7693507874021469,0.5035067164752474,0.26584407092689954,0.3,4
0.1,0.7607592882650545,0.5087218938629913,0.2520373944020632,0.3,4
0.15,0.7552403839420103,0.5056312074706042,0.24960917647140612,0.3,4
0.2,0.7523438757111911,0.5053774256312318,0.24696645007995932,0.3,4
0.25,0.7423963133840562,0.5048553150245713,0.23754099835948495,0.3,4
0.3,0.740157803401647,0.4998777125073112,0.24028009089433583,0.3,4
0.35,0.7373076641896646,0.49600990785829735,0.2412977563313673,0.3,4
0.4,0.7265383551769807,0.4910314782652133,0.23550687691176742,0.3,4
0.45,0.7252798984917581,0.48371271521999737,0.24156718327176074,0.3,4
0.5,0.7122837144678367,0.47954839219840617,0.2327353222694305,0.3,4
0.55,0.7043760786402209,0.47081314350040304,0.23356293513981785,0.3,4
0.6,0.6946616853092518,0.46017860348252315,0.2344830818267286,0.3,4
0.65,0.6809479549634323,0.4496356556349333,0.231312299328499,0.3,4
0.7,0.6716007503607486,0.4342778915445316,0.237322858816217,0.3,4
0.75,0.6598110383133665,0.41313070103682353,0.24668033727654298,0.3,4
0.8,0.6386364881216287,0.3940266052539928,0.24460988286763585,0.3,4
0.85,0.6231479711923658,0.36460742152875614,0.2585405496636096,0.3,4
0.9,0.6003544417768474,0.3372738389362615,0.2630806028405859,0.3,4
0.95,0.573769057165007,0.3114781226590272,0.26229093450597984,0.3,4
1.0,0.5353668797975802,,,0.3,4
