"subject","block","trial","first_trial_in_block","first_trial","card_right","card_left","ch_card","ch_key","selected_offer","reward","Q_ch_card","Q_unch_card","Q_right_card","Q_left_card","exp_val_right","exp_val_left","exp_val_ch","exp_val_unch","PE_cards","alpha","beta","scarcity"
1,2,10,0,0,2,1,2,2,1,0,0.06454476245,0.0201768035,0.06454476245,0.0201768035,0.2,0.2,0.2,0.2,-0.06454476245,0.3,4,0.2
1,2,11,0,0,3,1,1,1,0,1,0.0201768035,0.144720866915272,0.144720866915272,0.0201768035,0.2,0.2,0.2,0.2,0.9798231965,0.3,4,0.2
1,2,12,0,0,3,2,3,2,1,0,0.144720866915272,0.045181333715,0.144720866915272,0.045181333715,0.2,0.2,0.2,0.2,-0.144720866915272,0.3,4,0.2
1,2,13,0,0,1,3,1,2,1,0,0.31412376245,0.10130460684069,0.31412376245,0.10130460684069,0.2,0.2,0.2,0.2,-0.31412376245,0.3,4,0.2
1,2,14,0,0,3,2,3,2,1,0,0.10130460684069,0.045181333715,0.10130460684069,0.045181333715,0.2,0.2,0.2,0.2,-0.10130460684069,0.3,4,0.2
1,2,15,0,0,1,2,1,2,1,0,0.219886633715,0.045181333715,0.219886633715,0.045181333715,0.2,0.2,0.2,0.2,-0.219886633715,0.3,4,0.2
1,2,16,0,0,1,3,1,2,1,0,0.1539206436005,0.0709132247884831,0.1539206436005,0.0709132247884831,0.2,0.2,0.2,0.2,-0.1539206436005,0.3,4,0.2
1,2,17,0,0,2,1,1,1,0,0,0.10774445052035,0.045181333715,0.045181333715,0.10774445052035,0.2,0.2,0.2,0.2,-0.10774445052035,0.3,4,0.2
1,2,18,0,0,3,2,2,1,0,0,0.045181333715,0.0709132247884831,0.0709132247884831,0.045181333715,0.2,0.2,0.2,0.2,-0.045181333715,0.3,4,0.2
1,2,19,0,0,1,3,1,2,1,0,0.075421115364245,0.0709132247884831,0.075421115364245,0.0709132247884831,0.2,0.2,0.2,0.2,-0.075421115364245,0.3,4,0.2
1,2,20,0,0,1,3,1,2,1,0,0.0527947807549715,0.0709132247884831,0.0527947807549715,0.0709132247884831,0.2,0.2,0.2,0.2,-0.0527947807549715,0.3,4,0.2
1,2,21,0,0,1,3,1,2,1,0,0.0369563465284801,0.0709132247884831,0.0369563465284801,0.0709132247884831,0.2,0.2,0.2,0.2,-0.0369563465284801,0.3,4,0.2
1,2,22,0,0,1,3,3,1,0,0,0.0709132247884831,0.025869442569936,0.025869442569936,0.0709132247884831,0.2,0.2,0.2,0.2,-0.0709132247884831,0.3,4,0.2
1,2,23,0,0,3,2,2,1,0,0,0.0316269336005,0.0496392573519381,0.0496392573519381,0.0316269336005,0.2,0.2,0.2,0.2,-0.0316269336005,0.3,4,0.2
1,2,24,0,0,3,1,3,2,1,0,0.0496392573519381,0.025869442569936,0.0496392573519381,0.025869442569936,0.2,0.2,0.2,0.2,-0.0496392573519381,0.3,4,0.2
1,2,25,0,0,3,1,1,1,0,0,0.025869442569936,0.0347474801463567,0.0347474801463567,0.025869442569936,0.2,0.2,0.2,0.2,-0.025869442569936,0.3,4,0.2
1,3,1,1,0,3,2,3,2,1,0,0.0347474801463567,0.02213885352035,0.0347474801463567,0.02213885352035,0.2,0.2,0.2,0.2,-0.0347474801463567,0.3,4,0.2
1,3,2,0,0,1,3,3,1,0,1,0.0243232361024497,0.0181086097989552,0.0181086097989552,0.0243232361024497,0.2,0.2,0.2,0.2,0.97567676389755,0.3,4,0.2
1,3,3,0,0,3,1,1,1,0,0,0.0181086097989552,0.317026265271715,0.317026265271715,0.0181086097989552,0.2,0.2,0.2,0.2,-0.0181086097989552,0.3,4,0.2
1,3,4,0,0,3,1,3,2,1,0,0.317026265271715,0.0126760268592687,0.317026265271715,0.0126760268592687,0.2,0.2,0.2,0.2,-0.317026265271715,0.3,4,0.2
1,3,5,0,0,3,2,2,1,0,0,0.02213885352035,0.2219183856902,0.2219183856902,0.02213885352035,0.2,0.2,0.2,0.2,-0.02213885352035,0.3,4,0.2
1,3,6,0,0,2,3,2,2,1,0,0.015497197464245,0.2219183856902,0.015497197464245,0.2219183856902,0.2,0.2,0.2,0.2,-0.015497197464245,0.3,4,0.2
1,3,7,0,0,2,3,3,1,0,0,0.2219183856902,0.0108480382249715,0.0108480382249715,0.2219183856902,0.2,0.2,0.2,0.2,-0.2219183856902,0.3,4,0.2
1,3,8,0,0,2,3,3,1,0,1,0.15534286998314,0.0108480382249715,0.0108480382249715,0.15534286998314,0.2,0.2,0.2,0.2,0.84465713001686,0.3,4,0.2
1,3,9,0,0,1,2,2,1,0,0,0.0108480382249715,0.0126760268592687,0.0126760268592687,0.0108480382249715,0.2,0.2,0.2,0.2,-0.0108480382249715,0.3,4,0.2
1,3,10,0,0,3,2,2,1,0,0,0.00759362675748005,0.408740008988198,0.408740008988198,0.00759362675748005,0.2,0.2,0.2,0.2,-0.00759362675748005,0.3,4,0.2
1,3,11,0,0,1,3,3,1,0,0,0.408740008988198,0.0126760268592687,0.0126760268592687,0.408740008988198,0.2,0.2,0.2,0.2,-0.408740008988198,0.3,4,0.2
1,3,12,0,0,1,2,2,1,0,1,0.00531553873023603,0.0126760268592687,0.0126760268592687,0.00531553873023603,0.2,0.2,0.2,0.2,0.994684461269764,0.3,4,0.2
1,3,13,0,0,3,1,3,2,1,0,0.286118006291739,0.0126760268592687,0.286118006291739,0.0126760268592687,0.2,0.2,0.2,0.2,-0.286118006291739,0.3,4,0.2
1,3,14,0,0,2,1,1,1,0,0,0.0126760268592687,0.303720877111165,0.303720877111165,0.0126760268592687,0.2,0.2,0.2,0.2,-0.0126760268592687,0.3,4,0.2
