mu_alpha,mu_beta,mu_kappa,mu_decay,sigma_alpha,sigma_beta,sigma_kappa,sigma_decay
0.12758227,-0.51733422,0.19171026,0.68347841,2.8824596,1.1007002,0.69082351,3.3556815
0.34067574,-0.4179315,0.18777854,1.0888204,1.6498894,1.1140265,0.65338244,5.6209574
0.21818661,0.010662984,0.14279417,0.51172497,1.8964583,0.59250586,0.62600045,2.8889653
0.32138201,0.37990144,0.11024731,-0.77238195,3.5745207,0.83022383,0.67001443,4.875337
-0.67284911,0.20884226,0.10396931,0.43532567,2.7971307,0.89040609,0.648382,2.2569823
-2.0985143,0.5069004,0.19773131,0.40406182,3.541757,0.37082638,0.79877419,5.7503697
-1.8509904,0.3168418,0.13612712,0.39577441,2.5858325,0.47939546,0.68796421,2.0209811
-0.84425592,0.59499923,0.23058153,-1.4533165,3.1146899,0.45988248,0.71137817,6.6044728
-0.84936027,0.61406136,0.19260777,-1.6872493,3.2281854,0.44884029,0.72263639,7.1617271
0.10572753,0.1240931,0.23072204,-0.29619463,3.4438206,0.19541643,0.65783214,1.9762115
-1.5993224,0.67866281,0.18061933,-0.16773668,3.1510011000000002,0.33937267,0.71950267,4.5139114
-2.9170561,0.62027317,0.17937666,-0.014455973,3.5121402,0.90491483,0.56102584,3.4893833
-1.6296946,0.4836753,0.18207718,1.0447456,3.1638355,0.43301037,0.52403567,4.3498153
0.0046816813,0.61794164,0.23460997,-0.0027422005,5.0938068,0.6264317,0.48314267,4.1022935
-2.0572386,0.61885389,0.14937575,0.53037647,3.7024323,0.90663498,0.5439171,3.0233226
-0.33543586,0.34251458,-0.10872065,0.76363729,3.5491679,0.28128998,0.63493402,3.6720664
-1.96488,0.41813562,-0.037970029,0.56463663,2.8311275,0.83156853,0.43219446,3.5048831
-0.92553574,0.19747922,-0.026426884,0.31909052,3.4675728,0.62193003,0.49840306,3.8985282
0.051236702,0.33764671,-0.074413945,-0.20244637,2.1915517,0.54700517,0.59734716,3.6886514
0.7921831,0.085953616,0.020060043,-0.28453645,3.096324,0.79264723,0.46077248,5.0273946
0.53977271,-0.14701957,-0.032871882,2.2892381,3.5535173,0.61491606,0.57865968,3.1627521
-0.083283551,-0.31443425,0.1299939,0.71490956,2.1689782,0.90098171,0.64321623000000006,3.2981282
0.72135478,-0.31569582,0.13097915,0.38164592,2.2007933,1.1056896,0.51540765,2.7605968
