participant,understood_eq_felt,param,median,lo90,hi90
60e46e6f6bc0c2cdf5d077ce,True,alpha_abdr,0.8439087463079584,0.5898852013120395,0.9873391007653393
60e6b55696dade249aa3249b,True,alpha_abdr,0.9514763660038126,0.8335581879237841,0.996242453772393
60e9f29fe1f58945339696d0,True,alpha_abdr,0.5730098118790726,0.4112477480862552,0.7897930022786166
6661b6019ab530fb44632cc2,True,alpha_abdr,0.8566953716841208,0.37392761480534686,0.992396433555245
66912a96b8dba143ceba8276,True,alpha_abdr,0.7066851713907389,0.5876184462473634,0.8521487535821753
66ab330c867b56b7333c7f26,True,alpha_abdr,0.245958350526451,0.007950062573848714,0.9704318459548891
66ab9137e5573312997df691,True,alpha_abdr,0.9527730020467094,0.8410032595825515,0.9959821446000797
677009b08130c3028f6a8a6d,False,alpha_abdr,0.9549751573904388,0.8166275639738368,0.9969127166629038
678cc86b7a22ead21c11ea4d,True,alpha_abdr,0.16225955237872264,0.051632695551444854,0.5252869083336451
67acd3c9faab3a14dfe87135,True,alpha_abdr,0.4144395604748732,0.009446868519932086,0.9753691166656274
67dae998d8f2cfb8a8e3bf03,False,alpha_abdr,0.513227370397864,0.3440932380419988,0.793723893474456
67f6a640d2046b13fcf33328,True,alpha_abdr,0.44827201249303084,0.0754986556705219,0.954224288584991
68598a1d4cebd213b2abb1d9,False,alpha_abdr,0.12686574877355458,0.07358569649482635,0.21700085412897996
697ccad66fdf3bbcccb90fe4,True,alpha_abdr,0.11428764156244695,0.013572409378586116,0.94581190638879
69b7e04340b00585acbb91ac,False,alpha_abdr,0.8764735104801877,0.7360491587415969,0.9802716171140765
69ef99a65d19811a9ddad38b,True,alpha_abdr,0.08484260956929682,0.015306326892052816,0.8514889948550921
69fdce52c07d954848678eaf,True,alpha_abdr,0.16355314093776202,0.006996057854163288,0.9415946231218669
6a0092581cd317f1ff1765a2,False,alpha_abdr,0.8131110085018134,0.5710906394115209,0.9840846702274978
60e46e6f6bc0c2cdf5d077ce,True,beta_abdr,2.4452530017621887,1.730421424403018,3.568744167176284
60e6b55696dade249aa3249b,True,beta_abdr,3.2912658955091683,2.304246748283823,4.543899131143215
60e9f29fe1f58945339696d0,True,beta_abdr,2.4351782457477142,1.4974258244042271,3.488607035660539
6661b6019ab530fb44632cc2,True,beta_abdr,0.8043903652606088,0.3913810046923726,1.40336407104094
66912a96b8dba143ceba8276,True,beta_abdr,4.872269497485691,3.7521425375372854,6.164076925710775
66ab330c867b56b7333c7f26,True,beta_abdr,0.32004602634614676,-0.8679793066084605,2.670493732362217
66ab9137e5573312997df691,True,beta_abdr,3.1259994978425993,2.433182875678241,3.887332244206895
677009b08130c3028f6a8a6d,False,beta_abdr,1.811497964430559,1.3117117823560254,2.3691628588817832
678cc86b7a22ead21c11ea4d,True,beta_abdr,2.327027972026565,0.6838084760614132,4.829403227618902
67acd3c9faab3a14dfe87135,True,beta_abdr,0.36840103802444674,-0.8024452687755471,1.936520190296417
67dae998d8f2cfb8a8e3bf03,False,beta_abdr,2.784150994990145,1.5095647666613703,4.16316516864977
67f6a640d2046b13fcf33328,True,beta_abdr,1.120338551570073,0.4020295914024722,2.7532493161368388
68598a1d4cebd213b2abb1d9,False,beta_abdr,4.2490186579359746,2.9565288252199755,5.77009738406061
697ccad66fdf3bbcccb90fe4,True,beta_abdr,1.2119503652496513,-0.024637075316095994,4.958237128140671
69b7e04340b00585acbb91ac,False,beta_abdr,-5.041874017528833,-6.777669330199623,-3.7325463046839475
69ef99a65d19811a9ddad38b,True,beta_abdr,1.9051879747943907,-0.10696588760001052,4.953326233974339
69fdce52c07d954848678eaf,True,beta_abdr,0.5817560602634589,-0.36974546255298574,3.487222950447975
6a0092581cd317f1ff1765a2,False,beta_abdr,1.871249512872391,1.3040457869439224,2.6277969934710685
60e46e6f6bc0c2cdf5d077ce,True,delta_abdr,0.7190481388759293,0.5932177311077788,0.8197032993415067
60e6b55696dade249aa3249b,True,delta_abdr,0.44497336256374104,0.26726046653833224,0.6873128585829684
60e9f29fe1f58945339696d0,True,delta_abdr,0.24710988407637474,0.030314201242521377,0.7527432024923002
6661b6019ab530fb44632cc2,True,delta_abdr,0.37222844790891946,0.04151509255425249,0.756544201048544
66912a96b8dba143ceba8276,True,delta_abdr,0.2765147820830983,0.03263315963880742,0.6976879146251647
66ab330c867b56b7333c7f26,True,delta_abdr,0.9199097078868488,0.67743662178533,0.9848743980975384
66ab9137e5573312997df691,True,delta_abdr,0.6370741525319912,0.4932753982634494,0.75408492257688
677009b08130c3028f6a8a6d,False,delta_abdr,0.23938504618285888,0.0867445493273875,0.508777714512009
678cc86b7a22ead21c11ea4d,True,delta_abdr,0.328675011717393,0.1487453569586962,0.5542868101241221
67acd3c9faab3a14dfe87135,True,delta_abdr,0.495100140094606,0.33639481937180765,0.6383656981520681
67dae998d8f2cfb8a8e3bf03,False,delta_abdr,0.49554531879225316,0.059863063404387934,0.9711135341063867
67f6a640d2046b13fcf33328,True,delta_abdr,0.609761683117451,0.4618383115726294,0.7271483536178183
68598a1d4cebd213b2abb1d9,False,delta_abdr,0.2622538265389557,0.1318782690801699,0.447046081973835
697ccad66fdf3bbcccb90fe4,True,delta_abdr,0.2516528272413241,0.028203755114971554,0.7514789487831728
69b7e04340b00585acbb91ac,False,delta_abdr,0.31916385540341535,0.034729133208707526,0.8358222045412027
69ef99a65d19811a9ddad38b,True,delta_abdr,0.43163331161250434,0.1507576836483727,0.681386756985919
69fdce52c07d954848678eaf,True,delta_abdr,0.8016993296514533,0.38825959598035986,0.9370258048187516
6a0092581cd317f1ff1765a2,False,delta_abdr,0.3582126135254401,0.16758703658026694,0.5796912482298381
60e46e6f6bc0c2cdf5d077ce,True,rho_abdr,-2.432114929210408,-3.3369176432818346,-1.7349969793128899
60e6b55696dade249aa3249b,True,rho_abdr,2.1088644948377278,0.8775106939608858,4.166834199863247
60e9f29fe1f58945339696d0,True,rho_abdr,0.1680627104710244,-1.3486614290990375,1.858162146570051
6661b6019ab530fb44632cc2,True,rho_abdr,-0.56093769480304,-2.327955328422796,0.24615885695037282
66912a96b8dba143ceba8276,True,rho_abdr,-0.5581092017596084,-2.6852861461963786,0.7698199015899784
66ab330c867b56b7333c7f26,True,rho_abdr,0.3183208627032532,0.18864817464804237,0.7159876359114268
66ab9137e5573312997df691,True,rho_abdr,-1.8156524656243187,-2.747116025994696,-1.137129851907694
677009b08130c3028f6a8a6d,False,rho_abdr,1.3631474375032497,0.062150241290921907,3.497752098490578
678cc86b7a22ead21c11ea4d,True,rho_abdr,-1.962626905171863,-3.974330102621652,-0.7883120612861294
67acd3c9faab3a14dfe87135,True,rho_abdr,-3.0598873664281228,-4.727722175432778,-2.013887044639885
67dae998d8f2cfb8a8e3bf03,False,rho_abdr,0.10019711107978255,-3.1779010582651277,0.45635050776853275
67f6a640d2046b13fcf33328,True,rho_abdr,-2.092951957155353,-3.0453848341502483,-1.3834388138422213
68598a1d4cebd213b2abb1d9,False,rho_abdr,-2.554893686152149,-4.828914701379295,-1.1170601912829863
697ccad66fdf3bbcccb90fe4,True,rho_abdr,0.24303717304733985,-1.2510796130122344,1.815706963863259
69b7e04340b00585acbb91ac,False,rho_abdr,-0.33611013935244655,-2.087641717637826,0.9374646375495124
69ef99a65d19811a9ddad38b,True,rho_abdr,-1.1981658833911852,-2.625351735386656,-0.3856618569426419
69fdce52c07d954848678eaf,True,rho_abdr,-0.677964695451578,-1.2160694768050873,-0.31901610206914294
6a0092581cd317f1ff1765a2,False,rho_abdr,-2.05155445542722,-4.063411080217674,-0.9058014815397162
