alpha,beta,p_stay_noreward,p_stay_reward
-0.92494083,0.62643734,0.28395224,0.42592336
-0.93069785,0.63012151,0.28278316,0.4254166
-0.96678377,0.65015615,0.27552203,0.42149784
-0.94922255,0.73541311,0.2790412,0.44675034
-0.95589713,0.73632829,0.27770041,0.44532726
-0.96147307,0.7808288,0.27658336,0.45496134
-1.0712641,0.7831889,0.25516276,0.42847515
-0.98332211,0.73698503,0.2722331,0.43872527
-0.98461271,0.66927195,0.27197748,0.42181166
-0.91098596,0.68019263,0.28679812,0.44255642
-0.9313172,0.61263492,0.28265756,0.42099692
-0.94308163,0.67485421,0.28027829,0.43334231
-0.99488633,0.72419091,0.26994802,0.43273638
-0.93969268,0.70170163,0.28096242,0.44078148
-0.93454303,0.6997968,0.28200394,0.44158146
-0.96522792,0.68249689,0.2758327,0.42978435
-1.0155661,0.76913868,0.26589197,0.43870303
-1.0359174,0.71512659,0.2619385,0.42048303
-0.99073618,0.68706662,0.27076669,0.42466067
-0.96451736,0.66910677,0.27597466,0.42667979
-0.99383041,0.72898842,0.27015616,0.43417381
-0.95713516,0.68813986,0.27745215,0.43315376
-1.0236194,0.76146321,0.26432298,0.43483373
-1.0195129,0.80570679,0.26512229,0.44675117
-1.0131203,0.75109104,0.26636964,0.43486493
-0.93068565,0.63367227,0.28278563,0.42628775
-1.0482492,0.79231984,0.25956144,0.43636461
-1.0063038,0.72527348,0.26770383,0.4302012
-1.0127567,0.72143859,0.2664407,0.42768119
-0.96343119,0.71492889,0.27619174,0.43819217
-0.99317688,0.72594718,0.27028504,0.43358733
-0.9336063,0.68797316,0.28219365,0.43889862
-0.93134515,0.68629789,0.28265189,0.43904291
-0.96088537,0.67055469,0.27670096,0.42792291
-1.0636308,0.68487678,0.25661622,0.40642745
-1.00109,0.70607667,0.26872716,0.42677696
-0.99871378,0.74540082,0.26919438,0.43700824
-0.9805926,0.7319221,0.27277421,0.43815076
-0.967363,0.74215838,0.27540643,0.4439356
-1.0021793,0.67257945,0.26851315,0.41833798
-0.98655777,0.78124337,0.27159252,0.44885095
-0.98978239,0.68871511,0.27095506,0.4252966
-0.94620225,0.67595625,0.27964922,0.4328467
-0.99580771,0.68443638,0.26976647,0.42278005
-0.9917153,0.6904394,0.27057341,0.42524561
-1.031604,0.67740721,0.26277326,0.41236509
-1.0183251,0.69950701,0.26535379,0.42096383
-1.0137828,0.71290456,0.2662402,0.4253428
